,ap1,ap2,ap3a,ap3b,ap3c,ap4,ap5a,ap5b,ap5c,ap5d,ap5e,ap5f,ap5g,ap5h,ap6,ap7a,ap7b,ap7c,ap7d,ap8a,ap8b,ap8c,ap8d,ap8e,ap8f,ap8g,ap9,ap10,ap11,ap12,ap13,ap14,ap15a,ap15b,ap15c,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26a,ap26b,ap26c,ap26d,ap26e,ap26f,ap26g,ap26h,ap27,ap28,ap29,ap30a,ap30b,ap30c,ap30d,ap30e,ap30f,ap30g,ap30h,ap31a,ap31b,ap31c,ap32a,ap32b,ap32c,ap33a,ap33b,ap33c,ap33d,ap33e,ap33f,ap33g,ap34a,ap34b,ap35a,ap35b,ap35c,ap35d,ap35e,ap35f,ap35g,ap35h,ap35i,ap35j,ap36,ap37a,ap37b,ap37c,ap37d,ap37e,ap37f,ap37g,ap37h,ap38,ap39,ap40,ap41,ap42,ap43,ap44a,ap44b,ap44c,ap44d,ap44e,ap44f,ap45a,ap45b,ap45c,ap45d,ap45e,ap45f,ap45g,ap45h,ap45i,ap46a,ap46b,ap46c,ap47,ap48a,ap48b,ap48c,ap49,cod_provincia,sector,ambito,ldesemp,mdesemp,isocioa,autoconlengua,autoconmatematica,ICSE,iclima
ap1,1.0,0.06995913194778429,0.06233577290951231,0.05111880949380311,0.04404698591532092,0.0829946419682881,0.06993312649371498,0.04550196787518119,0.06294250242569042,0.006985401555794472,0.07332702564642246,0.0519277485651995,0.1268097563288958,0.08753925799484631,0.0571686925412508,0.04878695949806787,0.05729019843254495,0.06977764893068049,0.11984929783887212,0.06570206730019723,0.12192743388155707,0.07465107038535576,0.0825068128683659,0.10102203528039254,0.11758826364577257,0.11946082846531546,0.08128195738991022,0.1064566599198073,0.09023863752402522,0.07281142425581227,0.17334762312597493,0.05576395406806712,0.03576717761373799,0.058474035583560506,0.05519145109875997,0.0971736720147321,0.149712061087223,0.06305143311514512,0.07762992462994729,0.260255454306541,0.46229085497635525,0.2424563895138305,0.05122798250136412,0.0920726933969717,0.016093096761156247,0.020013809359335635,0.13347329779376488,0.13166142068297756,0.023229135834493018,0.1599133034477224,0.0483768798262598,0.0,0.10338359669926375,0.06474328517714346,0.05013654396251669,0.04369496213381442,0.04424049664026508,0.025509240451746202,0.04640715595661015,0.04743030536028629,0.023996062772938982,0.02173662552246064,0.016879307007004945,0.022860118312397964,0.02880373106101238,0.03792036751941037,0.028111168094327676,0.03630320409645046,0.04081218493986964,0.035134720370004334,0.02883318188829496,0.038514237577903676,0.01551728226568973,0.016649997363208963,0.004435061088473277,0.046529002503682734,0.019184011806785806,0.06217495299042726,0.022802580686035422,0.03313486909420371,0.03139670428463648,0.04243549274247985,0.03886900688743745,0.02888126530075357,0.02378142656525908,0.05408107969523988,0.03407105605027155,0.027198445422012937,0.022721569199689373,0.058518450421486096,0.028782624388763032,0.03400594447073174,0.0177597798651327,0.007956254168225787,0.0,0.012703799857844514,0.021398331806559607,0.025480942171350326,0.007368355162177501,0.03994113672007464,0.013742183642269062,0.03530344377702499,0.009215301833257443,0.04464974048684476,0.06323258953716322,0.030142035757089763,0.01259021507774351,0.04527093111227559,0.009291029618714305,0.03002580291261437,0.014179893022534362,0.011229277900909974,0.07398372471507429,0.04045982178805719,0.06726834268646152,0.015631049791781777,0.009785862862496962,0.038859846303338545,0.08679129320975726,0.06949275829302076,0.041193864000628744,0.02792840324834582,0.10303489282201188,0.04611663306339748,0.036348840787638954,0.05733151711134408,0.07176010282036474,0.05420464435688653,0.21035977924070512,0.05645490449908033,0.11750473044871318,0.10078575707919711,0.1465290408741141,0.03767150781226687,0.03793080714134882,0.052982971357837645,0.03612214661350909
ap2,0.06995913194778429,1.0,0.033295363823479605,0.025209953762002853,0.01861099390001793,0.04146252796034786,0.005729200237860909,0.049260332584791094,0.01502344917619325,0.0,0.020551214995314187,0.031080203895472593,0.06165877286215481,0.05508173893983602,0.05876382115412044,0.010944240851454935,0.0016841801504401473,0.012843941782589236,0.05134793655270444,0.01439919155163755,0.047236927076331266,0.009379048957414716,0.010410030459633075,0.06542347047984874,0.03920921146409124,0.0434736818578287,0.041757660678462816,0.09844265514695122,0.06390306850102126,0.005307361041852121,0.006996019170467831,,0.0952579070867527,0.1918908594814248,0.12895992491776279,0.13000396184029742,0.09861771645206384,0.0,0.06204449338856636,0.0374421738147336,0.08959147376148383,0.10845613036832721,0.048684744139282234,0.12347397458308502,0.053409482643320544,0.02205273758453937,0.06301387477492362,0.06277199228180541,0.03160588471906434,0.10495954029807676,0.03614960961218131,0.0,0.08756620789523886,0.053520918007352605,0.08315396460655067,0.11851713812263008,0.018754201194373883,0.027736030843635816,0.09372176935373042,0.05032546200843515,0.11780743147305717,0.03752998052768604,0.038162985048457256,0.11340215235456609,0.10191592565335583,0.03991982196433988,0.022019686208153748,0.08419992940349963,0.1175605835974069,0.12578662168417418,0.03647329935478612,0.0721024761768261,0.024170605399373855,0.05261152760133979,0.016106219382575115,0.06313438724408123,0.06361797544770524,0.06556296101255481,0.06629545610322471,0.041475721583457976,0.0911844381739102,0.014665305502639616,0.021509521045325945,0.05392716934725018,0.05573559775920386,0.04338065180110675,0.019574390052011444,0.034977341101657504,0.09196486940613993,0.12229561856092165,0.16910162041579208,0.01975877193348344,0.11142056629608643,0.10853950123238433,0.15080163880443517,0.11072074037207215,0.1825696279887715,0.0,0.028792271696932475,0.07890249930798364,0.005743421186627079,0.04839483246860252,0.05804287174675855,0.04156887352766365,0.024696311053441833,0.04168157855060474,0.06374959469849022,0.005325684465067253,0.016638901861178997,0.012676784631293377,0.0660385903288014,0.46763857321233787,0.039952540699433936,0.15083813354052233,0.07445484970518321,0.2708351165373513,0.0,0.10285257154595188,0.024565092462012186,0.01819222365137567,0.02416448294259576,0.061722737487991765,0.17074932321457806,0.0813155436786928,0.16024251420151495,0.10498058493465955,0.04583176481236797,0.024810267377338883,0.028817743013465333,0.0,0.034651927122698226,0.12398636495881524,0.05827782252440578,0.020787800418424224,0.06391499781310349,0.005703639891411762,0.018490402465068893
ap3a,0.06233577290951231,0.033295363823479605,1.0,0.3809824477166583,0.3457061696258908,0.0495341084841187,0.023892397979957923,0.023211006141809373,0.017152830445514175,0.02234593387153196,0.06359782738801026,0.025748840541790934,0.05679111184492146,0.2399225995872468,0.03929085094517207,0.07257646786874304,0.047555879287812346,0.08629584667730741,0.05685371088641933,0.08715349586478534,0.06703661042298883,0.10839311839403842,0.11937707162559959,0.04495448106061589,0.06526989138598228,0.06460342865199672,0.03528494034124936,0.06906811521301023,0.043152439684957904,0.08128569442709518,0.13878212462853565,0.12088986988764805,0.028355312653805267,0.050945528788229145,0.06230921973715148,0.04633565804270157,0.041093746588569076,0.1255919182478756,0.11405970264740985,0.13965372526134673,0.08100919460859894,0.02722623900142586,0.03786698791144031,0.02369406652390081,0.013192881846858991,0.04173329416113369,0.08430268919813057,0.07178595925371556,0.032568183724114075,0.040612381760970706,0.028320205451059427,0.01971463061068426,0.06639777424590887,0.12746233024735443,0.06581020115645331,0.07821464368106204,0.054966317575551094,0.043285480430412034,0.0272052176012341,0.04953005127206313,0.0387048194659089,0.037332914679083284,0.0314529643694033,0.030609189448264955,0.029876221148087165,0.02801826470171732,0.029307155763915488,0.038356799756298604,0.03527963166516197,0.02189578109712877,0.0314243295900562,0.042763487194884015,0.02038316641241649,0.03056942135199821,0.016032815571529677,0.08152687608184299,0.011959626526059024,0.056718697499075967,0.017868367701125442,0.041452830409739655,0.03625393143653212,0.0311605626535991,0.03626543960672537,0.0618453083817644,0.05293517577530962,0.03365639685938366,0.04403814940614199,0.07063842050755242,0.049557814192103845,0.0155551771556183,0.014908991138055298,0.010290131568527447,0.008940947478439697,0.011830448456794946,0.014166326788238976,0.013354588550039181,0.018460322451989697,0.01596576320168692,0.019910444303136456,0.01586399391671991,0.03210672484385591,0.03705249057088756,0.031246675661726623,0.029506439410594897,0.027838892741877563,0.014849410565067878,0.04768939881201849,0.051252171084742365,0.04000673518770228,0.023664367248287427,0.027031989377632445,0.026173602214971912,0.03106545061986597,0.019806448954377744,0.06352407424417827,0.008067497829027543,0.027006148015150132,0.021371277106751803,0.03591228760947821,0.07386614483352921,0.038956277932411756,0.024983917917299914,0.03853867768249068,0.048811447265577866,0.034027123245965726,0.06445548501175236,0.023115949172016433,0.045941703953489316,0.05722310304555502,0.02617516010472795,0.02948412866125613,0.025883984280365785,0.06655466496253583,0.029142582524020872,0.027319552105247835,0.024971254108113915,0.04537526698914577
ap3b,0.05111880949380311,0.025209953762002853,0.3809824477166583,1.0,0.46464170584373427,0.0465994903255698,0.043857074321236277,0.02380954016516881,0.031682785593853194,0.035810398471522106,0.052728812236200066,0.03564793175390251,0.054231345298319356,0.2125831757383813,0.033276694049655546,0.06771787543562019,0.053126026701534074,0.09801943444688563,0.07545152463661443,0.097886565927621,0.07170762805998909,0.08490576497814555,0.12056434046159706,0.07460844623497581,0.11082523421275497,0.10614968232487818,0.03723518648847825,0.10018445819787818,0.055701181596749576,0.10481945534671402,0.09744109873530737,0.08679591854313605,0.03138650180343046,0.04306948897069708,0.05488147218867322,0.08852226908394745,0.035051066705286314,0.10240337817598415,0.10411608022430668,0.09953480639109186,0.05967078707639241,0.033957850788337844,0.041684983104094936,0.03603453341488374,0.01883503156748755,0.029304611424673714,0.0539582742321481,0.05045148035645764,0.022837941349021784,0.04611483818209861,0.039070284398814804,0.014132268070098238,0.0588920355912379,0.09732222220604231,0.05535515206089357,0.062168473542425,0.04943931737606459,0.03491165591773809,0.03589856047204389,0.04229526749424777,0.03231443356019502,0.03936153133918283,0.03743405082865328,0.028563897042272145,0.029003999733940022,0.022933986467786723,0.03421081001594803,0.03909719490910871,0.033394420404332846,0.017998568885127332,0.02600110179272057,0.04089183599389779,0.0238227523285628,0.03975742720933222,0.016265271697094328,0.06308462166067973,0.013490498850903808,0.05288174670860479,0.019919078483386858,0.02964968633227009,0.027174143375866832,0.023115104650214578,0.028226370000746397,0.045696970354431925,0.03948513983755631,0.026720134033287365,0.03318646781818876,0.05137853981587886,0.03630137467647405,0.013605925220809691,0.027925652973187783,0.00993012480205173,0.015110400175427478,0.017305889164080955,0.017679354456533222,0.020274832208377648,0.017729487129652718,0.017568400404872005,0.02323691717143674,0.019815195209480246,0.026906769802885144,0.03724182329555153,0.033631046432335464,0.03594023557470624,0.030657252028183694,0.01999779851640976,0.04519241124680335,0.045540481872255394,0.0351613628372051,0.027027081576273138,0.027475683942251524,0.02640519968168144,0.032689937336716046,0.022021365578746514,0.09980585160569741,0.022090230981209966,0.03602091855367049,0.021926568841167466,0.03575108446317022,0.07042222723322106,0.05257843720457038,0.021134764522188817,0.044223622712531045,0.043428837643961805,0.030388072329127717,0.060440845289933806,0.01763903977341693,0.10355364665730926,0.07967211006546783,0.04590416287735887,0.030202911173922455,0.02743502141559757,0.10412823375973149,0.0321444885538932,0.027518422420573205,0.03830996902788049,0.03630564032261604
ap3c,0.04404698591532092,0.01861099390001793,0.3457061696258908,0.46464170584373427,1.0,0.04677842824008039,0.03331675243804917,0.15600951415474518,0.05160748034871937,0.062065370332032695,0.1063486754423822,0.08868891202476265,0.07117340242120947,0.138562955152791,0.03106259797434708,0.06490031192874768,0.05729697754281126,0.09062071917551835,0.0914688835990408,0.08988982759695807,0.08669078745471259,0.06558930137167013,0.11399951787157582,0.08757656966036231,0.12033999340888712,0.12134041532404721,0.038197693926683554,0.08205420879020724,0.12781543319976377,0.10716267704359703,0.07779895270727957,0.05219561421119946,0.03347129592679536,0.034255268978259784,0.0486158077215037,0.08695488108304855,0.042140468143737335,0.06598928587261128,0.08618607165878628,0.06804336083088099,0.043458098633357416,0.03657725749121705,0.03738856464852417,0.03625493751698333,0.01969134571228024,0.0228056128175795,0.04893328712536705,0.054276019280242636,0.011214297961743941,0.0487869094021065,0.03539552028646027,0.016857323844491692,0.054324418255026534,0.07581456707740895,0.04363945923141733,0.04808023973053124,0.041015867843862255,0.02660270046784651,0.035155376070717365,0.03342351877504362,0.025650195789465396,0.03670419661126929,0.033708954978406445,0.024273882998177777,0.026097966533488653,0.020745305882971733,0.03326553577976395,0.03468822269449901,0.028686258249913617,0.017526427836619046,0.020303498803565342,0.0378497892145074,0.018570661226152956,0.03309274178198532,0.010956028288373412,0.04505208263402654,0.011742160394523636,0.042284928738646484,0.018084516241774835,0.025480455811763877,0.021441472192217606,0.020607518832271042,0.022413325027146807,0.03223389467849823,0.03187229473253548,0.024680159589117148,0.026256861704229233,0.033535137693700194,0.026795785795829953,0.015600443027643763,0.02676889328015792,0.008640137527004892,0.015789032635500612,0.01766119025482745,0.019989556778980476,0.021053494658460434,0.013112633119528367,0.018620200017511766,0.02195469135358678,0.020195414630926996,0.021949523847562793,0.03587823631042228,0.029427954974603102,0.03431170910042534,0.03407917273331771,0.019244632535466367,0.039761093702924785,0.03977392805431254,0.03231754170156386,0.02532124582221234,0.025530912872617745,0.022568985082570315,0.036055006717094086,0.02100085969006651,0.1032589841691735,0.029847964909680478,0.036803675300401205,0.02260730423031744,0.035807112181418764,0.06407416448863158,0.050812947233933356,0.019949751082295252,0.040492382270784444,0.03601875865258727,0.02895278097824769,0.04763691532285372,0.014320085569460596,0.09969727309476205,0.09306148827772838,0.04483468175079945,0.034414162788295705,0.033098603437945406,0.10610013998398296,0.029427161006152638,0.025749966055775605,0.041820335798512444,0.030001748740685515
ap4,0.0829946419682881,0.04146252796034786,0.0495341084841187,0.0465994903255698,0.04677842824008039,1.0,0.1739044958301315,0.3177705807356192,0.2524959716089374,0.6441157217781974,0.3089389830392192,0.2327572123847258,0.29083524595257526,0.13677501007147372,0.09837312468802235,0.07450362764903662,0.11066058420727,0.09553819061214307,0.1834879853653164,0.09389289467431632,0.16880665009873766,0.10136029578420948,0.14801772432368504,0.1699513703173345,0.16959921019669233,0.22485924569138538,0.075844326175737,0.10283291410633812,0.08696812719346911,0.1134392804621283,0.1403186746349461,0.0619611524073171,0.1844490492936694,0.07776274451056298,0.08200161302177532,0.12729449563721146,0.11251008913029696,0.06469263550812311,0.11404772578034666,0.11615600285484678,0.070544002917241,0.10718618321317099,0.06605220348418528,0.07133716703554262,0.03970079165684469,0.02105577353910887,0.12258807813197661,0.10147583787329373,0.050407012689077005,0.18198366031056254,0.04667446877378797,0.029259461233580298,0.10402062868287645,0.07618979999332125,0.10146876415827313,0.05246375702845708,0.06084399196235853,0.03439903895579269,0.05321404076447824,0.059492909062439876,0.04257235463232722,0.03730172039709532,0.021704736572784558,0.027797826702084527,0.029271943070057684,0.02987777726094945,0.05818990035273259,0.04637707592466101,0.03928444239216324,0.05182585944216082,0.04940078451277347,0.036787149528746475,0.02881367042126521,0.02195071890907702,0.027967659790868283,0.04161133507524584,0.05697321219060126,0.12410496599543332,0.027416791287480143,0.03811168545096845,0.0337133244361508,0.046755738986241996,0.03938801346670272,0.04053810706492194,0.02989545555136672,0.04820207827510491,0.03523176542780616,0.042221570716801514,0.028916486693787546,0.059466080483012614,0.04016991333127964,0.04544885913116193,0.02479655797421572,0.04584216705529228,0.04173723759795695,0.023364148566212998,0.020141204669211467,0.037700324580999416,0.013385478932453258,0.05455478088540455,0.020413630052252225,0.04145057731971864,0.01223705119250732,0.058623325171644196,0.07362293714755645,0.023733055373954058,0.02918519796386069,0.06277709105580444,0.028174207873082845,0.04326881072112329,0.0573429894298798,0.0466784533605301,0.08953131925893204,0.032211067280584815,0.10142014484381122,0.02632900221905645,0.046593687124908266,0.03150397185519947,0.11197914659957547,0.12952768981812837,0.061151009649951384,0.024975900461803653,0.06380137061446081,0.052274341581665655,0.04379559553961034,0.05868954000283615,0.09388973433219798,0.07776263374784628,0.24023013792236572,0.11348250110420346,0.12495908541828896,0.10804495324895778,0.18632102048754434,0.03973049336120434,0.03351026498137857,0.13141190195880825,0.030581128723245865
ap5a,0.06993312649371498,0.005729200237860909,0.023892397979957923,0.043857074321236277,0.03331675243804917,0.1739044958301315,1.0,0.1463437274443018,0.01567202087105503,0.27182327180063265,0.12439717813547879,0.12029046440105033,0.11096402544080233,0.02507369580495912,0.07982445952614514,0.018403226202534765,0.023555770951123687,0.03700850549562383,0.07098645774571846,0.03680109569535776,0.08667042880900606,0.0380109804833803,0.066651157091752,0.07357228248749739,0.07120593574861271,0.058380630046634456,0.07088123181472492,0.10809931777653892,0.04914140020179423,0.032417477340575235,0.06485981867862174,0.03347718371592127,0.024729944900601025,0.08423868942956173,0.020995525415808867,0.0012486707704804495,0.03468744266801451,0.0,0.03942157429946114,0.04360616544564927,0.060473824227432575,0.037318498846065716,0.0327871591053992,0.04135860274720338,0.015779130604136538,0.026054627401008272,0.0,0.0,0.024805636238488027,0.009090872150963663,0.043688150557035774,0.029187605315522936,0.0,0.02976905263474739,0.00560811689050389,0.019311594942644252,0.010208025816444541,0.00834646312172698,0.014561086749449847,0.01736046977172536,0.010567854192041077,0.018531700478546565,0.014746512491551723,0.009066378307446936,0.0063738428090976745,0.002169859165911167,0.01944809298770193,0.012637366972021558,0.014315647037932432,0.0149760276810307,0.0015960830235555844,0.008559505796521916,0.0014890531186398152,0.0,0.0,0.014937361964636183,0.0010841273965911987,0.00560137007973535,0.0053857569427247405,0.010173418966273936,0.007836701620454703,0.011607323382614611,0.012142850401691687,0.005152070954571015,0.007177448396876582,0.01128377479749218,0.007821447092642961,0.00876967265134137,0.0047471086024383335,0.009124304640186797,0.0,0.0,0.0,0.0,0.0,0.005465574993406207,0.006127142853477331,0.0,0.002749162705201882,0.007445332555514311,0.0016091781604612833,0.009258323926639863,0.0,0.01060659500683876,0.00558749088292171,0.0,0.011037479734131102,0.007959738478657302,0.0034984357605280085,0.0,0.024577470614174986,0.017527321335851873,0.024181603567605715,0.004245268904242553,0.04233269455243803,0.03273792863714827,0.011994095526842505,0.023758004320429932,0.03890915280277095,0.025510673198592505,0.015211042967185472,0.007233257884205843,0.04550180904934026,0.01427205478078558,0.01556760942461716,0.017277038252952927,0.026948245259041007,0.02678866197599743,0.053939592184650706,0.019463355551905013,0.02223999992058875,0.025418973083639072,0.06703087774377477,0.0112022319511899,0.005229569381415666,0.023373761545517,0.006242532917966785
ap5b,0.04550196787518119,0.049260332584791094,0.023211006141809373,0.02380954016516881,0.15600951415474518,0.3177705807356192,0.1463437274443018,1.0,0.07438980584975563,0.2458288600784007,0.09631881600597197,0.08757063889171632,0.15350244536978783,0.009361169675099274,0.13708386408590806,0.0035936951695053495,0.013895896503408181,0.05564390536197748,0.08780673362457894,0.05991522164181397,0.11278612654250131,0.04181560051036797,0.06815971750359445,0.09465656405144046,0.13173595633104848,0.08982302834706138,0.04919008834305234,0.035628050591732,0.3004375935562354,0.030641680593927505,0.031636439557545484,0.019017898944966145,0.034942134386215976,0.058965596890153495,0.03091934005609941,0.04617287810116627,0.04250885673511151,0.00819251012720136,0.010215746999314306,0.02478559724940241,0.046023665745374066,0.0452406883224552,0.08466341976019504,0.043379869975296824,0.01253045395542377,0.04288822980522939,0.012256284462721347,0.014572485195118886,0.06348824935879124,0.02930861066116245,0.041518498253628223,0.04241446545380179,0.02289522759009521,0.02351111095089668,0.0,0.03588728607282185,0.009373857742099525,0.012826265201200011,0.01859276849146802,0.007504271449506733,0.0,0.02921234471271551,0.00946322797973789,0.012295176719729376,0.009658915470445466,0.017617615947580947,0.005507367516137291,0.004974474007817334,0.003936367878513563,0.016967392994135053,0.013819185573870133,0.003554329219807746,0.007453857132031602,0.003921454846937333,0.004711635624888099,0.007323556707035004,0.01076590977282097,0.006859832800820765,0.011235381074862782,0.006628331623225537,0.004269568082695199,0.016272199829196855,0.013380865375482224,0.0140059370309316,0.019558739866681617,0.022079017678180615,0.014023550087606255,0.0,0.018526517746226632,0.013710297637420106,0.021745891192168097,0.014409524263024474,0.0015954525667417837,0.012592647009560079,0.009496614526168618,0.013065822666590825,0.0143867264206415,0.007262895892688226,0.004488177906805832,0.007394866276183936,0.0015973950440919895,0.00455605342919713,0.0,0.007089631887205137,0.004203492699043451,0.0,0.011008624523061122,0.0,0.01352410825506806,0.005131017918614938,0.03447182808652596,0.03183455695069481,0.005226005601271523,0.013719517384989756,0.03307457544043658,0.06870385421941404,0.0,0.0107326253324602,0.04407005510556184,0.013347951035733146,0.011538952459763245,0.0076132767839979685,0.059022730804832946,0.006839016009630407,0.032020290698645225,0.0,0.006070461640452077,0.041805169150884475,0.0477352393031866,0.011037357574741582,0.02699072940090273,0.02768044225596479,0.04200098359311246,0.010203178288259517,0.023512392756814122,0.0017499430835507686,0.01379166378986423
ap5c,0.06294250242569042,0.01502344917619325,0.017152830445514175,0.031682785593853194,0.05160748034871937,0.2524959716089374,0.01567202087105503,0.07438980584975563,1.0,0.10133970577644426,0.16692528902387463,0.12049825488403546,0.11091988096594677,0.08412493076376479,0.03979815204798953,0.002269447746545789,0.03940108855417842,0.006939728307392791,0.11357577096891212,0.0016056966093918406,0.09777322086884158,0.01578103344845499,0.03791059071392324,0.13370501408953409,0.05114375649933055,0.1781324057924604,0.1375744399812354,0.1471524927816481,0.14781220947788268,0.1128053806429065,0.04534671319630383,0.03412135133347876,0.10990750186113259,0.058397386579939134,0.07795985676242533,0.08349933916481922,0.04930227736827925,0.014653710931667771,0.2037088746460089,0.08425712438724352,0.04969622249214291,0.06577118993125766,0.09299596488519725,0.10926156556554888,0.0,0.008750670805313042,0.09804675158642633,0.07868916304938912,0.017789256999030147,0.15423651891325552,0.017959278875707085,0.023709219650885092,0.10147323935604675,0.04195532344732234,0.07456190390251034,0.04186328099630514,0.05500682535092484,0.019868534672293093,0.03700652619630756,0.06662919054018838,0.03583689865175491,0.023596579242024983,0.012749550120154144,0.05538331082342689,0.04712820536096175,0.04787042688918657,0.0625441325382216,0.05095595728307779,0.042865724463046,0.07224083958785503,0.02586020049200943,0.01341304626050443,0.03698712264162302,0.025076057650537064,0.016517205311972837,0.013546572084364722,0.0638864360553829,0.09494719155047993,0.019116525042565016,0.055535132390034055,0.05614869494646167,0.05027947494628319,0.038187322198068925,0.03575110977856043,0.03862635564404501,0.05452384217615604,0.03325322328396656,0.030001658129489458,0.018912827178477323,0.03654382696679541,0.038794962397392205,0.03749666991691006,0.02443296134897033,0.04123347790308294,0.03145056476615089,0.0,0.020531073753295236,0.048622902001700295,0.01840296613163376,0.05578850664368918,0.0,0.07546252851907596,0.019549182868337078,0.07195893353953672,0.06068519491712199,0.029174017852722497,0.003827215470842977,0.03632689958150201,0.006106194587187879,0.030841802645561238,0.03647744430271623,0.020393055921338794,0.02792928093351468,0.02570329607285705,0.03988873492395799,0.02369881118610088,0.008450958060525671,0.018231669754869104,0.07846920014666539,0.05913246594218949,0.02240860358751146,0.01564885774948723,0.049445639178322356,0.05113128480883063,0.08351022220330363,0.06307706404116412,0.06298162919321189,0.4371946983652412,0.2071406315395768,0.06111029306226093,0.18843747625655308,0.18569150292942702,0.15733809170048818,0.031733630629267734,0.020482554967152712,0.14556702800858198,0.0195025191569326
ap5d,0.006985401555794472,0.0,0.02234593387153196,0.035810398471522106,0.062065370332032695,0.6441157217781974,0.27182327180063265,0.2458288600784007,0.10133970577644426,1.0,0.040519833239196654,0.029556751478161843,0.016311535811802655,0.011405960143951037,0.0987904008121318,0.003624914108352429,0.005313797973756077,0.01783601245826419,0.0,0.021135858957058922,0.010051716126724848,0.022509311852024014,0.03756718096632006,0.009594530207347662,0.01066925646180867,0.02098491981114408,0.019702693910371515,0.034763694426051164,0.06911763182155434,0.026056100675393074,0.026643691815676114,0.00825089888218131,0.21717045674505622,0.008707484368213267,0.011071814265190532,0.03461077975374987,0.0145662687247834,0.012572122870742015,0.0480855413742187,0.01570456872916604,0.009384637873970187,0.019558492695272166,0.0326460883162199,0.041323453326656615,0.02100671709233373,0.013942673651248837,0.034318148548210664,0.029505572663823858,0.05821013633372339,0.05725928741639656,0.007336791682663179,0.020840896032918683,0.05179024714371515,0.020679698575836562,0.03320782206091183,0.024333914760628888,0.031234056619134015,0.0252280603197317,0.025159029463028063,0.026175510371603282,0.0092038738051289,0.030127962946592556,0.01241540195549396,0.0051031762969344025,0.012595284789106015,0.015469777495026106,0.02331286426737009,0.025193906805448092,0.020963721997702352,0.008651251456220576,0.02262495359089058,0.0,0.017589874310625454,0.012274859630993527,0.015802035169890375,0.012333789996814276,0.022021952276941363,0.04176363988445522,0.0034057400410804767,0.0063484642767391046,0.005408428827199204,0.02184038500466714,0.017212245051163953,0.016049202566337784,0.011187008020512751,0.020484229130553037,0.008615779664450787,0.01238210340633055,0.012544839617932327,0.017585439917018553,0.015659927580267418,0.025836889869333805,0.016726059509818918,0.010171449333537115,0.011561905420040763,0.0027392324830105173,0.018670003638942476,0.020845135881547492,0.010454133045911041,0.016740581465417143,0.009576271734123426,0.010463328694821009,0.0029378989673233187,0.02480897928200826,0.017506628178212042,0.005430829345998471,0.01370307533009447,0.005852415819923944,0.01610904635242671,0.01124035429487249,0.02999280164576783,0.010878062427308157,0.005566215194604494,0.018169399364038694,0.004271543747676349,0.028785734755449342,0.01654642510983328,0.01055934342678756,0.03314287281645538,0.01991306446005119,0.014224450942925699,0.0103698828401611,0.01705845193936401,0.02024042687372126,0.005981374384892192,0.01880162040449489,0.0,0.06126167102178275,0.051055256724025236,0.010090429330363372,0.0613977637205481,0.04600263967315133,0.028582866492635424,0.01481362628687229,0.017816576208771993,0.03363657051090649,0.010935735632490432
